node,time,head
10,0,307.756
10,1,308.4439
10,2,296.2487
10,3,307.6927
10,4,294.9783
10,5,293.0986
10,6,290.9159
10,7,288.7749
10,8,286.9282
10,9,318.3464
10,10,324.9925
10,11,324.9925
10,12,331.6579
10,13,331.1902
10,14,336.0343
10,15,336.0343
10,16,339.7531
10,17,339.7531
10,18,342.7948
10,19,342.7948
10,20,337.7802
10,21,339.7531
10,22,336.0343
10,23,336.0343
11,0,300.8834
11,1,301.7019
11,2,296.2487
11,3,300.8082
11,4,294.9783
11,5,293.0986
11,6,290.9159
11,7,288.7749
11,8,286.9282
11,9,313.4832
11,10,321.7755
11,11,321.7755
11,12,329.2195
11,13,328.7145
11,14,334.0537
11,15,334.0537
11,16,338.2676
11,17,338.2676
11,18,341.8045
11,19,341.8045
11,20,336.0321
11,21,338.2676
11,22,334.0537
11,23,334.0537
12,0,295.6739
12,1,296.498
12,2,297.3853
12,3,295.859
12,4,296.3528
12,5,294.4732
12,6,292.5711
12,7,290.3872
12,8,288.2638
12,9,310.9122
12,10,319.6871
12,11,319.6871
12,12,327.5573
12,13,327.0175
12,14,332.696
12,15,332.696
12,16,337.2494
12,17,337.2494
12,18,341.1257
12,19,341.1257
12,20,334.7678
12,21,337.2494
12,22,332.696
12,23,332.696
13,0,295.174
13,1,296.3093
13,2,296.0509
13,3,295.1883
13,4,294.6157
13,5,292.736
13,6,290.3851
13,7,288.2433
13,8,286.6535
13,9,309.5933
13,10,318.793
13,11,318.793
13,12,327.024
13,13,326.4461
13,14,332.2389
13,15,332.2389
13,16,336.9066
13,17,336.9066
13,18,340.8971
13,19,340.8971
13,20,334.151
13,21,336.9066
13,22,332.2389
13,23,332.2389
21,0,295.6443
21,1,296.8343
21,2,294.7339
21,3,295.5754
21,4,293.0951
21,5,291.2154
21,6,288.5626
21,7,286.5243
21,8,285.1377
21,9,309.2072
21,10,318.6254
21,11,318.6254
21,12,326.9827
21,13,326.4506
21,14,332.2426
21,15,332.2426
21,16,336.9093
21,17,336.9093
21,18,340.899
21,19,340.899
21,20,334.4851
21,21,336.9093
21,22,332.2426
21,23,332.2426
22,0,295.122
22,1,296.0807
22,2,295.0821
22,3,295.0948
22,4,293.448
22,5,291.5684
22,6,288.959
22,7,286.8824
22,8,285.66
22,9,309.0505
22,10,318.4494
22,11,318.4494
22,12,326.7954
22,13,326.2507
22,14,332.0826
22,15,332.0826
22,16,336.7893
22,17,336.7893
22,18,340.819
22,19,340.819
22,20,334.2772
22,21,336.7893
22,22,332.0826
22,23,332.0826
23,0,294.9908
23,1,296.0053
23,2,295.0217
23,3,294.9254
23,4,293.3732
23,5,291.4935
23,6,288.8696
23,7,286.7825
23,8,285.5757
23,9,308.8939
23,10,318.3354
23,11,318.3354
23,12,326.72
23,13,326.17
23,14,332.0181
23,15,332.0181
23,16,336.7409
23,17,336.7409
23,18,340.7867
23,19,340.7867
23,20,334.1929
23,21,336.7409
23,22,332.0181
23,23,332.0181
31,0,294.4149
31,1,295.5842
31,2,293.1038
31,3,293.7313
31,4,290.667
31,5,288.7873
31,6,285.1502
31,7,283.2983
31,8,282.319
31,9,306.6476
31,10,316.8599
31,11,316.8599
31,12,325.8189
31,13,325.2843
31,14,331.3095
31,15,331.3095
31,16,336.2095
31,17,336.2095
31,18,340.4324
31,19,340.4324
31,20,333.7681
31,21,336.2095
31,22,331.3095
31,23,331.3095
32,0,293.8195
32,1,294.8981
32,2,292.5856
32,3,293.0992
32,4,290.0401
32,5,288.1604
32,6,284.3153
32,7,282.5627
32,8,281.4841
32,9,305.9505
32,10,316.2697
32,11,316.2697
32,12,325.3394
32,13,324.8005
32,14,330.9225
32,15,330.9225
32,16,335.9192
32,17,335.9192
32,18,340.2389
32,19,340.2389
32,20,333.4474
32,21,335.9192
32,22,330.9225
32,23,330.9225
9,0,243.84
9,1,243.84
9,2,243.84
9,3,243.84
9,4,243.84
9,5,243.84
9,6,243.84
9,7,243.84
9,8,243.84
9,9,243.84
9,10,243.84
9,11,243.84
9,12,243.84
9,13,243.84
9,14,243.84
9,15,243.84
9,16,243.84
9,17,243.84
9,18,243.84
9,19,243.84
9,20,243.84
9,21,243.84
9,22,243.84
9,23,243.84
2,0,295.656
2,1,296.4719
2,2,297.457
2,3,295.8459
2,4,296.4441
2,5,294.5644
2,6,292.6848
2,7,290.498
2,8,288.3498
2,9,286.5433
2,10,286.5433
2,11,286.5433
2,12,286.5433
2,13,286.5433
2,14,286.5433
2,15,286.5433
2,16,286.5433
2,17,286.5433
2,18,286.5433
2,19,286.5433
2,20,286.5433
2,21,286.5433
2,22,286.5433
2,23,286.5433
