link,time,flow_rate
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.111
10,7,0.111
10,8,0.0972
10,9,0.0972
10,10,0.0833
10,11,0.0833
10,12,0.0694
10,13,0.0694
10,14,0.0555
10,15,0.0555
10,16,0.0416
10,17,0.0416
10,18,0.0278
10,19,0.0278
10,20,0.0416
10,21,0.0416
10,22,0.0555
10,23,0.0555
11,0,-0.0203
11,1,-0.0203
11,2,-0.0257
11,3,-0.0257
11,4,-0.0311
11,5,-0.0311
11,6,0.0636
11,7,0.0636
11,8,0.0561
11,9,0.0561
11,10,0.0473
11,11,0.0473
11,12,0.0384
11,13,0.0384
11,14,0.0307
11,15,0.0307
11,16,0.0231
11,17,0.0231
11,18,0.0154
11,19,0.0154
11,20,0.0231
11,21,0.0231
11,22,0.0307
11,23,0.0307
12,0,0.0125
12,1,0.0125
12,2,0.0146
12,3,0.0146
12,4,0.0168
12,5,0.0168
12,6,0.0165
12,7,0.0165
12,8,0.0146
12,9,0.0146
12,10,0.0123
12,11,0.0123
12,12,0.01
12,13,0.01
12,14,0.008
12,15,0.008
12,16,0.006
12,17,0.006
12,18,0.004
12,19,0.004
12,20,0.006
12,21,0.006
12,22,0.008
12,23,0.008
21,0,-0.0064
21,1,-0.0064
21,2,-0.0066
21,3,-0.0066
21,4,-0.0067
21,5,-0.0067
21,6,0.0038
21,7,0.0038
21,8,0.003
21,9,0.003
21,10,0.0033
21,11,0.0033
21,12,0.0038
21,13,0.0038
21,14,0.003
21,15,0.003
21,16,0.0023
21,17,0.0023
21,18,0.0015
21,19,0.0015
21,20,0.0023
21,21,0.0023
21,22,0.003
21,23,0.003
22,0,0.0033
22,1,0.0033
22,2,0.0043
22,3,0.0043
22,4,0.0053
22,5,0.0053
22,6,0.0087
22,7,0.0087
22,8,0.0075
22,9,0.0075
22,10,0.0066
22,11,0.0066
22,12,0.0057
22,13,0.0057
22,14,0.0046
22,15,0.0046
22,16,0.0034
22,17,0.0034
22,18,0.0023
22,19,0.0023
22,20,0.0034
22,21,0.0034
22,22,0.0046
22,23,0.0046
31,0,0.0014
31,1,0.0014
31,2,0.0021
31,3,0.0021
31,4,0.0025
31,5,0.0025
31,6,0.0032
31,7,0.0032
31,8,0.0028
31,9,0.0028
31,10,0.0024
31,11,0.0024
31,12,0.0019
31,13,0.0019
31,14,0.0015
31,15,0.0015
31,16,0.0012
31,17,0.0012
31,18,0.0008
31,19,0.0008
31,20,0.0012
31,21,0.0012
31,22,0.0015
31,23,0.0015
110,0,0.0694
110,1,0.0694
110,2,0.0833
110,3,0.0833
110,4,0.0972
110,5,0.0972
110,6,0.0
110,7,0.0
110,8,0.0
110,9,0.0
110,10,0.0
110,11,0.0
110,12,0.0
110,13,0.0
110,14,0.0
110,15,0.0
110,16,0.0
110,17,0.0
110,18,0.0
110,19,0.0
110,20,0.0
110,21,0.0
110,22,0.0
110,23,0.0
111,0,0.0109
111,1,0.0109
111,2,0.0144
111,3,0.0144
111,4,0.0179
111,5,0.0179
111,6,0.0323
111,7,0.0323
111,8,0.0278
111,9,0.0278
111,10,0.0246
111,11,0.0246
111,12,0.0215
111,13,0.0215
111,14,0.0172
111,15,0.0172
111,16,0.0129
111,17,0.0129
111,18,0.0086
111,19,0.0086
111,20,0.0129
111,21,0.0129
111,22,0.0172
111,23,0.0172
112,0,0.0271
112,1,0.0271
112,2,0.0315
112,3,0.0315
112,4,0.036
112,5,0.036
112,6,0.0319
112,7,0.0319
112,8,0.0283
112,9,0.0283
112,10,0.0236
112,11,0.0236
112,12,0.0189
112,13,0.0189
112,14,0.0151
112,15,0.0151
112,16,0.0114
112,17,0.0114
112,18,0.0076
112,19,0.0076
112,20,0.0114
112,21,0.0114
112,22,0.0151
112,23,0.0151
113,0,0.0062
113,1,0.0062
113,2,0.0071
113,3,0.0071
113,4,0.0079
113,5,0.0079
113,6,0.0064
113,7,0.0064
113,8,0.0057
113,9,0.0057
113,10,0.0047
113,11,0.0047
113,12,0.0037
113,13,0.0037
113,14,0.003
113,15,0.003
113,16,0.0022
113,17,0.0022
113,18,0.0015
113,19,0.0015
113,20,0.0022
113,21,0.0022
113,22,0.003
113,23,0.003
121,0,0.0078
121,1,0.0078
121,2,0.0096
121,3,0.0096
121,4,0.0113
121,5,0.0113
121,6,0.0133
121,7,0.0133
121,8,0.0116
121,9,0.0116
121,10,0.0099
121,11,0.0099
121,12,0.0082
121,13,0.0082
121,14,0.0066
121,15,0.0066
121,16,0.0049
121,17,0.0049
121,18,0.0033
121,19,0.0033
121,20,0.0049
121,21,0.0049
121,22,0.0066
121,23,0.0066
122,0,0.0049
122,1,0.0049
122,2,0.0055
122,3,0.0055
122,4,0.0063
122,5,0.0063
122,6,0.0069
122,7,0.0069
122,8,0.0061
122,9,0.0061
122,10,0.0052
122,11,0.0052
122,12,0.0044
122,13,0.0044
122,14,0.0035
122,15,0.0035
122,16,0.0026
122,17,0.0026
122,18,0.0018
122,19,0.0018
122,20,0.0026
122,21,0.0026
122,22,0.0035
122,23,0.0035
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.111
9,7,0.111
9,8,0.0972
9,9,0.0972
9,10,0.0833
9,11,0.0833
9,12,0.0694
9,13,0.0694
9,14,0.0555
9,15,0.0555
9,16,0.0416
9,17,0.0416
9,18,0.0278
9,19,0.0278
9,20,0.0416
9,21,0.0416
9,22,0.0555
9,23,0.0555
