node,time,head
10,0,294.7067
10,1,293.3641
10,2,291.7625
10,3,290.1513
10,4,288.2826
10,5,286.4029
10,6,309.6695
10,7,309.6695
10,8,318.3464
10,9,318.3464
10,10,324.9925
10,11,324.9925
10,12,331.1902
10,13,331.1902
10,14,336.0343
10,15,336.0343
10,16,339.7531
10,17,339.7531
10,18,342.7948
10,19,342.7948
10,20,339.7531
10,21,339.7531
10,22,336.0343
10,23,336.0343
11,0,294.7067
11,1,293.3641
11,2,291.7625
11,3,290.1513
11,4,288.2826
11,5,286.4029
11,6,303.16
11,7,303.16
11,8,313.4832
11,9,313.4832
11,10,321.7755
11,11,321.7755
11,12,328.7145
11,13,328.7145
11,14,334.0537
11,15,334.0537
11,16,338.2676
11,17,338.2676
11,18,341.8045
11,19,341.8045
11,20,338.2676
11,21,338.2676
11,22,334.0537
11,23,334.0537
12,0,295.6038
12,1,294.2612
12,2,292.899
12,3,291.2879
12,4,289.6572
12,5,287.7775
12,6,299.4823
12,7,299.4823
12,8,310.9122
12,9,310.9122
12,10,319.6871
12,11,319.6871
12,12,327.0175
12,13,327.0175
12,14,332.696
12,15,332.696
12,16,337.2494
12,17,337.2494
12,18,341.1257
12,19,341.1257
12,20,337.2494
12,21,337.2494
12,22,332.696
12,23,332.696
13,0,294.6708
13,1,293.3282
13,2,291.5647
13,3,289.9535
13,4,287.92
13,5,286.0403
13,6,297.7896
13,7,297.7896
13,8,309.5933
13,9,309.5933
13,10,318.793
13,11,318.793
13,12,326.4461
13,13,326.4461
13,14,332.2389
13,15,332.2389
13,16,336.9066
13,17,336.9066
13,18,340.8971
13,19,340.8971
13,20,336.9066
13,21,336.9066
13,22,332.2389
13,23,332.2389
21,0,293.5637
21,1,292.221
21,2,290.2476
21,3,288.6365
21,4,286.3994
21,5,284.5197
21,6,297.327
21,7,297.327
21,8,309.2072
21,9,309.2072
21,10,318.6254
21,11,318.6254
21,12,326.4506
21,13,326.4506
21,14,332.2426
21,15,332.2426
21,16,336.9093
21,17,336.9093
21,18,340.899
21,19,340.899
21,20,336.9093
21,21,336.9093
21,22,332.2426
21,23,332.2426
22,0,293.8988
22,1,292.5562
22,2,290.5958
22,3,288.9847
22,4,286.7524
22,5,284.8727
22,6,297.1264
22,7,297.1264
22,8,309.0505
22,9,309.0505
22,10,318.4494
22,11,318.4494
22,12,326.2507
22,13,326.2507
22,14,332.0826
22,15,332.0826
22,16,336.7893
22,17,336.7893
22,18,340.819
22,19,340.819
22,20,336.7893
22,21,336.7893
22,22,332.0826
22,23,332.0826
23,0,293.8529
23,1,292.5103
23,2,290.5354
23,3,288.9243
23,4,286.6775
23,5,284.7979
23,6,296.9146
23,7,296.9146
23,8,308.8939
23,9,308.8939
23,10,318.3354
23,11,318.3354
23,12,326.17
23,13,326.17
23,14,332.0181
23,15,332.0181
23,16,336.7409
23,17,336.7409
23,18,340.7867
23,19,340.7867
23,20,336.7409
23,21,336.7409
23,22,332.0181
23,23,332.0181
31,0,292.4662
31,1,291.1236
31,2,288.6176
31,3,287.0064
31,4,283.9714
31,5,282.0917
31,6,293.9567
31,7,293.9567
31,8,306.6476
31,9,306.6476
31,10,316.8599
31,11,316.8599
31,12,325.2843
31,13,325.2843
31,14,331.3095
31,15,331.3095
31,16,336.2095
31,17,336.2095
31,18,340.4324
31,19,340.4324
31,20,336.2095
31,21,336.2095
31,22,331.3095
31,23,331.3095
32,0,292.1044
32,1,290.7618
32,2,288.0994
32,3,286.4882
32,4,283.3444
32,5,281.4647
32,6,293.1443
32,7,293.1443
32,8,305.9505
32,9,305.9505
32,10,316.2697
32,11,316.2697
32,12,324.8005
32,13,324.8005
32,14,330.9225
32,15,330.9225
32,16,335.9192
32,17,335.9192
32,18,340.2389
32,19,340.2389
32,20,335.9192
32,21,335.9192
32,22,330.9225
32,23,330.9225
9,0,243.84
9,1,243.84
9,2,243.84
9,3,243.84
9,4,243.84
9,5,243.84
9,6,243.84
9,7,243.84
9,8,243.84
9,9,243.84
9,10,243.84
9,11,243.84
9,12,243.84
9,13,243.84
9,14,243.84
9,15,243.84
9,16,243.84
9,17,243.84
9,18,243.84
9,19,243.84
9,20,243.84
9,21,243.84
9,22,243.84
9,23,243.84
2,0,295.656
2,1,294.3134
2,2,292.9708
2,3,291.3596
2,4,289.7485
2,5,287.8688
2,6,285.9891
2,7,285.9891
2,8,285.9891
2,9,285.9891
2,10,285.9891
2,11,285.9891
2,12,285.9891
2,13,285.9891
2,14,285.9891
2,15,285.9891
2,16,285.9891
2,17,285.9891
2,18,285.9891
2,19,285.9891
2,20,285.9891
2,21,285.9891
2,22,285.9891
2,23,285.9891
