bus,time,E_soc
sourcebus,0,0.0
sourcebus,1,0.0
sourcebus,2,0.0
sourcebus,3,0.0
sourcebus,4,0.0
sourcebus,5,0.0
sourcebus,6,0.0
sourcebus,7,0.0
sourcebus,8,0.0
sourcebus,9,0.0
sourcebus,10,0.0
sourcebus,11,0.0
sourcebus,12,0.0
sourcebus,13,0.0
sourcebus,14,0.0
sourcebus,15,0.0
sourcebus,16,0.0
sourcebus,17,0.0
sourcebus,18,0.0
sourcebus,19,0.0
sourcebus,20,0.0
sourcebus,21,0.0
sourcebus,22,0.0
sourcebus,23,0.0
sourcebus,24,0.0
loadbus,0,100.0
loadbus,1,100.0
loadbus,2,100.0
loadbus,3,105.0
loadbus,4,152.5
loadbus,5,200.0
loadbus,6,200.0
loadbus,7,200.0
loadbus,8,200.0
loadbus,9,200.0
loadbus,10,200.0
loadbus,11,200.0
loadbus,12,200.0
loadbus,13,200.0
loadbus,14,200.0
loadbus,15,200.0
loadbus,16,200.0
loadbus,17,157.89473684210526
loadbus,18,105.26315789473684
loadbus,19,105.26315789473684
loadbus,20,52.63157894736842
loadbus,21,0.0
loadbus,22,5.000000000000002
loadbus,23,52.5
loadbus,24,100.0
