bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999967761364255,-1.7992501292016975e-06
loadbus,1,0.9999971791193722,-1.5743438630384456e-06
loadbus,2,0.9999971540472401,-1.6101611946472406e-06
loadbus,3,0.9999965379511702,-2.139514779485251e-06
loadbus,4,0.9999957319852766,-2.589327311707438e-06
loadbus,5,0.9999943582387445,-3.148687726024733e-06
loadbus,6,0.9999930495018212,-3.9659609282793756e-06
loadbus,7,0.999992717974451,-4.0887877993575614e-06
loadbus,8,0.9999929368551613,-3.776101070398739e-06
loadbus,9,0.9999934351122102,-3.4150889441220658e-06
loadbus,10,0.9999938097626508,-3.230657686690793e-06
loadbus,11,0.9999944078077825,-2.7270911566492328e-06
loadbus,12,0.9999943080196999,-2.869645560466278e-06
loadbus,13,0.9999938812182274,-3.128578291605727e-06
loadbus,14,0.999993406779704,-3.4555639528540452e-06
loadbus,15,0.9999925055397084,-4.0414823452939695e-06
loadbus,16,0.9999923214374717,-3.953701882394083e-06
loadbus,17,0.9999926767833677,-3.796848546391858e-06
loadbus,18,0.9999927701254827,-4.014286325597227e-06
loadbus,19,0.9999933874751591,-3.4831418741787767e-06
loadbus,20,0.999993790458106,-3.2582356080155244e-06
loadbus,21,0.9999942095600042,-3.361085926478929e-06
loadbus,22,0.9999948024127747,-3.2157207128793427e-06
loadbus,23,0.9999957319852766,-2.589327311707438e-06
