node,time,head
N1,0,27.995381198376116
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.56113918989951
N1,5,25.997244341595444
N1,6,26.90772122191468
N1,7,27.95355620809899
N1,8,27.22056755834545
N1,9,26.032372307883406
N1,10,26.729476026799816
N1,11,26.285216906802013
N1,12,27.11939199672219
N1,13,28.467129920238033
N1,14,29.771330452177953
N1,15,30.936013963361457
N1,16,30.541117985023593
N1,17,29.420246123622565
N1,18,28.150738033053653
N1,19,26.962542782591612
N1,20,25.935268703901293
N1,21,26.869893759480934
N1,22,28.38242625134464
N1,23,28.43767231772869
N2,0,27.995381198376123
N2,1,27.598417600971153
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.56113918989951
N2,5,25.997244341595444
N2,6,25.237818028582502
N2,7,26.348017831956287
N2,8,27.22056755834545
N2,9,26.032372307883406
N2,10,25.0486029199056
N2,11,26.285216906802013
N2,12,25.462515859192056
N2,13,26.886171722382784
N2,14,28.25247703643577
N2,15,29.486320773050128
N2,16,30.541117985023593
N2,17,29.420246123622565
N2,18,28.150738033053653
N2,19,26.962542782591612
N2,20,25.935268703901293
N2,21,25.197662514652524
N2,22,26.797555987015755
N2,23,28.43767231772869
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.602112642270257
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.56760551217294
T1,5,26.01056321135131
T1,6,25.21478849589183
T1,7,26.331071096573336
T1,8,27.246586302235496
T1,9,26.05292422904628
T1,10,25.01841709894895
T1,11,26.300946793693548
T1,12,25.425594606688126
T1,13,26.851764981023717
T1,14,28.224310567229317
T1,15,29.463775306789444
T1,16,30.564080923322134
T1,17,29.449996321678867
T1,18,28.176756776943694
T1,19,26.98309470375448
T1,20,25.94858757365716
T1,21,25.15281285819768
T1,22,26.74806539506258
T1,23,28.44229111935257
T1,24,28.044403761622835
