bus,time,E_soc
sourcebus,0,0.0
sourcebus,1,0.0
sourcebus,2,0.0
sourcebus,3,0.0
sourcebus,4,0.0
sourcebus,5,0.0
sourcebus,6,0.0
sourcebus,7,0.0
sourcebus,8,0.0
sourcebus,9,0.0
sourcebus,10,0.0
sourcebus,11,0.0
sourcebus,12,0.0
sourcebus,13,0.0
sourcebus,14,0.0
sourcebus,15,0.0
sourcebus,16,0.0
sourcebus,17,0.0
sourcebus,18,0.0
sourcebus,19,0.0
sourcebus,20,0.0
sourcebus,21,0.0
sourcebus,22,0.0
sourcebus,23,0.0
sourcebus,24,0.0
loadbus,0,100.0
loadbus,1,99.99999999999999
loadbus,2,63.1578947368421
loadbus,3,63.1578947368421
loadbus,4,63.1578947368421
loadbus,5,63.1578947368421
loadbus,6,63.1578947368421
loadbus,7,63.1578947368421
loadbus,8,10.526315789473683
loadbus,9,-0.0
loadbus,10,0.0
loadbus,11,33.75
loadbus,12,81.25
loadbus,13,128.75
loadbus,14,176.25
loadbus,15,200.0
loadbus,16,200.0
loadbus,17,178.94736842105263
loadbus,18,157.89473684210526
loadbus,19,105.26315789473684
loadbus,20,52.63157894736842
loadbus,21,0.0
loadbus,22,5.0
loadbus,23,52.5
loadbus,24,100.0
