bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999996776136425,-1.7992501285891895e-07
loadbus,1,0.9999998846416159,8.075086894693355e-08
loadbus,2,0.9999997179119373,-1.5743438625155412e-07
loadbus,3,0.9999995539954951,-3.565223663560834e-07
loadbus,4,0.9999995970170532,-2.249062661750555e-07
loadbus,5,0.9999994358238744,-3.14868772604515e-07
loadbus,6,0.9999993625660414,-3.1428772236989885e-07
loadbus,7,0.9999995797460076,3.1047737979257914e-08
loadbus,8,0.9999997033641551,2.0764509147642235e-07
loadbus,9,0.9999997629554553,2.5769715475675505e-07
loadbus,10,0.9999998245650624,3.106325132315958e-07
loadbus,11,0.9999999909887177,5.133022264970047e-07
loadbus,12,0.9999999909887177,5.133022264970047e-07
loadbus,13,0.9999998985278522,4.162936414775415e-07
loadbus,14,0.9999999580291794,5.363739033389856e-07
loadbus,15,0.999999682358866,2.1271590144061854e-07
loadbus,16,0.9999996704046167,2.3071676831840336e-07
loadbus,17,0.9999995201547073,-1.9004325402481565e-08
loadbus,18,0.9999994368348545,-1.7311105219087437e-07
loadbus,19,0.9999994294960981,-2.1867335564022025e-07
loadbus,20,0.9999995934125403,-1.9585375535690936e-08
loadbus,21,0.9999994107517423,-3.506861042133102e-07
loadbus,22,0.9999991546170611,-7.867495231705034e-07
loadbus,23,0.999999358831798,-5.651709164586093e-07
