link,time,flow_rate
P1,0,0.0
P1,1,0.0
P1,2,0.0
P1,3,0.06794036770769615
P1,4,0.0
P1,5,0.0
P1,6,0.0
P1,7,0.0688496966837074
P1,8,0.0
P1,9,0.0691751404234464
P1,10,0.06773918125695953
P1,11,0.0
P1,12,0.0
P1,13,0.0683090168348477
P1,14,0.0
P1,15,0.06769806287783647
P1,16,0.0
P1,17,0.0
P1,18,0.0691649576459337
P1,19,0.06792322988298208
P1,20,0.0
P1,21,0.0
P1,22,0.06826727169509277
P1,23,0.0
P2,0,-0.0125
P2,1,-0.010000000000000002
P2,2,-0.010000000000000002
P2,3,0.055440367707696156
P2,4,-0.017499999999999998
P2,5,-0.025
P2,6,-0.034999999999999996
P2,7,0.02884969668370739
P2,8,-0.037500000000000006
P2,9,0.0366751404234464
P2,10,0.037739181256959534
P2,11,-0.027500000000000004
P2,12,-0.025
P2,13,0.043309016834847704
P2,14,-0.027500000000000004
P2,15,0.037698062877836475
P2,16,-0.034999999999999996
P2,17,-0.04000000000000001
P2,18,0.03166495764593369
P2,19,0.03542322988298208
P2,20,-0.025
P2,21,-0.020000000000000004
P2,22,0.053267271695092766
P2,23,-0.0125
PU1,0,0.0
PU1,1,0.0
PU1,2,0.0
PU1,3,0.06794036770769615
PU1,4,0.0
PU1,5,0.0
PU1,6,0.0
PU1,7,0.0688496966837074
PU1,8,0.0
PU1,9,0.0691751404234464
PU1,10,0.06773918125695953
PU1,11,0.0
PU1,12,0.0
PU1,13,0.0683090168348477
PU1,14,0.0
PU1,15,0.06769806287783647
PU1,16,0.0
PU1,17,0.0
PU1,18,0.0691649576459337
PU1,19,0.06792322988298208
PU1,20,0.0
PU1,21,0.0
PU1,22,0.06826727169509277
PU1,23,0.0
