bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999967761364255,-1.7992501292016975e-06
loadbus,1,0.9999971791193722,-1.5743438630384456e-06
loadbus,2,0.9999971540472401,-1.6101611946472406e-06
loadbus,3,0.9999965379511703,-2.139514779485251e-06
loadbus,4,0.9999959701705318,-2.2490626614238847e-06
loadbus,5,0.9999941200534892,-3.4889523763082874e-06
loadbus,6,0.9999930495018213,-3.9659609282793756e-06
loadbus,7,0.9999928415810593,-3.912206930512161e-06
loadbus,8,0.9999928132485532,-3.9526819392441396e-06
loadbus,9,0.999993311505602,-3.5916698129674667e-06
loadbus,10,0.9999939333692591,-3.0540768178453924e-06
loadbus,11,0.9999944078077825,-2.7270911566492328e-06
loadbus,12,0.9999943080196998,-2.869645560466278e-06
loadbus,13,0.9999938812182274,-3.128578291605727e-06
loadbus,14,0.999993406779704,-3.4555639528540452e-06
loadbus,15,0.9999925055397084,-4.0414823452939695e-06
loadbus,16,0.9999923690745228,-3.885648952337372e-06
loadbus,17,0.9999926767833677,-3.796848546391858e-06
loadbus,18,0.9999930083107379,-3.674021675313673e-06
loadbus,19,0.999993149289904,-3.82340652446233e-06
loadbus,20,0.9999937428210549,-3.3262885380722353e-06
loadbus,21,0.999993996446881,-3.6655332451536883e-06
loadbus,22,0.999995139132506,-2.7346925253591836e-06
loadbus,23,0.9999956083786683,-2.765908180552839e-06
