link,time,flow_rate
P1,0,0.0
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.0
P1,6,0.07006905220838394
P1,7,0.0
P1,8,0.07025649991622224
P1,9,0.06902429127512269
P1,10,0.0
P1,11,0.0
P1,12,0.06979596373544003
P1,13,0.0681114894657227
P1,14,0.06642879740883323
P1,15,0.06455746525029116
P1,16,0.0
P1,17,0.0
P1,18,0.0
P1,19,0.0
P1,20,0.0
P1,21,0.07010920569388597
P1,22,0.0
P1,23,0.0687813078542026
P2,0,-0.012500000000001224
P2,1,-0.010000000542509541
P2,2,-0.010000000000001563
P2,3,-0.012500000000001066
P2,4,-0.017500000000001847
P2,5,-0.02500000000000213
P2,6,0.035069052208383945
P2,7,-0.040000000000000924
P2,8,0.03275649991622223
P2,9,0.03652429127512268
P2,10,-0.02999999958942872
P2,11,-0.027500000000000004
P2,12,0.04479596373544003
P2,13,0.04311148946572269
P2,14,0.03892879740883322
P2,15,0.03455746525029116
P2,16,-0.03500000000000192
P2,17,-0.040000000000000924
P2,18,-0.037500000000000006
P2,19,-0.032500000000002416
P2,20,-0.02500000000000213
P2,21,0.050109205693885966
P2,22,-0.015
P2,23,0.0562813078542026
PU1,0,0.0
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.0
PU1,6,0.07006905220838394
PU1,7,0.0
PU1,8,0.07025649991622224
PU1,9,0.06902429127512269
PU1,10,0.0
PU1,11,0.0
PU1,12,0.06979596373544003
PU1,13,0.0681114894657227
PU1,14,0.06642879740883323
PU1,15,0.06455746525029116
PU1,16,0.0
PU1,17,0.0
PU1,18,0.0
PU1,19,0.0
PU1,20,0.0
PU1,21,0.07010920569388597
PU1,22,0.0
PU1,23,0.0687813078542026
