node,time,head
N1,0,27.995381198376073
N1,1,27.598417600971093
N1,2,27.280107692518712
N1,3,26.96087404212121
N1,4,26.561139167630554
N1,5,25.997244314326423
N1,6,26.90772119625579
N1,7,26.30132079744522
N1,8,26.75776302998516
N1,9,27.743529942864797
N1,10,27.24496671805726
N1,11,26.292448069099947
N1,12,27.126191974610922
N1,13,28.473771390384794
N1,14,29.777637167837096
N1,15,30.942021622041036
N1,16,30.54718436331422
N1,17,29.42631283181334
N1,18,28.156804378967447
N1,19,26.968609160882153
N1,20,25.941335082191763
N1,21,26.875598407854167
N1,22,26.748362230657534
N1,23,27.93791667960087
N2,0,27.995381198376073
N2,1,27.598417600971118
N2,2,27.280107692518712
N2,3,26.960874043232316
N2,4,26.56113916763055
N2,5,25.997244317659757
N2,6,25.237818002253455
N2,7,26.301320797445225
N2,8,25.078630817030163
N2,9,26.125065720536618
N2,10,27.24496669784272
N2,11,26.292448069099947
N2,12,25.469734334587077
N2,13,26.89311993098652
N2,14,28.25915825201057
N2,15,29.492685173303386
N2,16,30.547184363314223
N2,17,29.426312831813345
N2,18,28.156804365890192
N2,19,26.968609160882153
N2,20,25.941335082191763
N2,21,25.203718249625965
N2,22,26.748362230657534
N2,23,26.33141578508194
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.60211264227022
T1,2,27.283802733817815
T1,3,26.965492844856197
T1,4,26.567605489903983
T1,5,26.010563187415624
T1,6,25.214788469531847
T1,7,26.33107107032516
T1,8,25.057831525589968
T1,9,26.100503301601172
T1,10,27.263107601473966
T1,11,26.308177955991482
T1,12,25.43282576898606
T1,13,26.858725580798172
T1,14,28.23100691130296
T1,15,29.470149018550714
T1,16,30.570147301612764
T1,17,29.456062699969433
T1,18,28.182823155234242
T1,19,26.989161082045026
T1,20,25.95465395194763
T1,21,25.158879236488087
T1,22,26.75390479260619
T1,23,26.276439963330503
T1,24,28.067929633065113
