bus,time,P_import,P_export,P_pv,Q_ch,Q_dis,Q_grid,PumpBusLoad
sourcebus,0,400.0,0.0,0.0,0.0,0.0,193.72884193514102,0.0
sourcebus,1,350.0,0.0,0.0,0.0,0.0,169.51273669324837,0.0
sourcebus,2,350.0,0.0,0.0,0.0,0.0,169.51273669324837,0.0
sourcebus,3,400.0,0.0,0.0,0.0,0.0,193.72884193514102,0.0
sourcebus,4,500.0,0.0,0.0,0.0,0.0,242.16105241892626,0.0
sourcebus,5,700.0,0.0,0.0,0.0,0.0,339.02547338649674,0.0
sourcebus,6,870.9475776720047,0.0,0.0,0.0,0.0,411.67378911217463,0.0
sourcebus,7,880.0,0.0,0.0,0.0,0.0,435.8898943540673,0.0
sourcebus,8,885.9475776720047,0.0,0.0,0.0,0.0,435.8898943540673,0.0
sourcebus,9,790.0,0.0,0.0,0.0,0.0,411.67378911217463,0.0
sourcebus,10,745.9475776720047,0.0,0.0,0.0,0.0,387.45768387028204,0.0
sourcebus,11,680.9475776720047,0.0,0.0,0.0,0.0,363.2415786283894,0.0
sourcebus,12,650.0,0.0,0.0,0.0,0.0,363.2415786283894,0.0
sourcebus,13,730.9475776720047,0.0,0.0,0.0,0.0,387.45768387028204,0.0
sourcebus,14,770.0,0.0,0.0,0.0,0.0,411.67378911217463,0.0
sourcebus,15,915.9475776720047,0.0,0.0,0.0,0.0,460.1059995959599,0.0
sourcebus,16,960.0,0.0,0.0,0.0,0.0,484.3221048378525,0.0
sourcebus,17,930.0,0.0,0.0,0.0,0.0,460.1059995959599,0.0
sourcebus,18,920.9475776720047,0.0,0.0,0.0,0.0,435.8898943540673,0.0
sourcebus,19,850.0,0.0,0.0,0.0,0.0,411.67378911217463,0.0
sourcebus,20,825.9475776720047,0.0,0.0,0.0,0.0,387.45768387028204,0.0
sourcebus,21,700.0,0.0,0.0,0.0,0.0,339.02547338649674,0.0
sourcebus,22,625.9475776720047,0.0,0.0,0.0,0.0,290.5932629027115,0.0
sourcebus,23,500.0,0.0,0.0,0.0,0.0,242.16105241892626,0.0
loadbus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,6,0.0,0.0,5.0,0.0,0.0,0.0,25.9475776720047
loadbus,7,0.0,0.0,20.0,0.0,0.0,0.0,0.0
loadbus,8,0.0,0.0,40.0,0.0,0.0,0.0,25.9475776720047
loadbus,9,0.0,0.0,60.0,0.0,0.0,0.0,0.0
loadbus,10,0.0,0.0,80.0,0.0,0.0,0.0,25.9475776720047
loadbus,11,0.0,0.0,95.0,0.0,0.0,0.0,25.9475776720047
loadbus,12,0.0,0.0,100.0,0.0,0.0,0.0,0.0
loadbus,13,0.0,0.0,95.0,0.0,0.0,0.0,25.9475776720047
loadbus,14,0.0,0.0,80.0,0.0,0.0,0.0,0.0
loadbus,15,0.0,0.0,60.0,0.0,0.0,0.0,25.9475776720047
loadbus,16,0.0,0.0,40.0,0.0,0.0,0.0,0.0
loadbus,17,0.0,0.0,20.0,0.0,0.0,0.0,0.0
loadbus,18,0.0,0.0,5.0,0.0,0.0,0.0,25.9475776720047
loadbus,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,20,0.0,0.0,0.0,0.0,0.0,0.0,25.9475776720047
loadbus,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,22,0.0,0.0,0.0,0.0,0.0,0.0,25.9475776720047
loadbus,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
