bus,time,E_soc
sourcebus,0,0.0
sourcebus,1,0.0
sourcebus,2,0.0
sourcebus,3,0.0
sourcebus,4,0.0
sourcebus,5,0.0
sourcebus,6,0.0
sourcebus,7,0.0
sourcebus,8,0.0
sourcebus,9,0.0
sourcebus,10,0.0
sourcebus,11,0.0
sourcebus,12,0.0
sourcebus,13,0.0
sourcebus,14,0.0
sourcebus,15,0.0
sourcebus,16,0.0
sourcebus,17,0.0
sourcebus,18,0.0
sourcebus,19,0.0
sourcebus,20,0.0
sourcebus,21,0.0
sourcebus,22,0.0
sourcebus,23,0.0
sourcebus,24,0.0
loadbus,0,100.0
loadbus,1,100.0
loadbus,2,100.0
loadbus,3,100.0
loadbus,4,100.0
loadbus,5,100.0
loadbus,6,100.0
loadbus,7,100.0
loadbus,8,100.0
loadbus,9,100.0
loadbus,10,100.0
loadbus,11,100.0
loadbus,12,100.0
loadbus,13,100.0
loadbus,14,100.0
loadbus,15,100.0
loadbus,16,100.0
loadbus,17,100.0
loadbus,18,100.0
loadbus,19,100.0
loadbus,20,100.0
loadbus,21,100.0
loadbus,22,100.0
loadbus,23,100.0
loadbus,24,100.0
