bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999967761364255,-1.7992501292006648e-06
loadbus,1,0.9999971791193721,-1.5743438629534372e-06
loadbus,2,0.9999971791193721,-1.5743438629534372e-06
loadbus,3,0.9999967761364255,-1.7992501292006648e-06
loadbus,4,0.9999959701705317,-2.249062661384258e-06
loadbus,5,0.9999943582387445,-3.1486877260623062e-06
loadbus,6,0.9999930495018213,-3.965960928282299e-06
loadbus,7,0.9999928415810592,-3.91220693045241e-06
loadbus,8,0.999992813248553,-3.9526819391616275e-06
loadbus,9,0.9999934351122102,-3.4150889440955905e-06
loadbus,10,0.9999938097626508,-3.2306576866352957e-06
loadbus,11,0.9999942842011743,-2.903672025463544e-06
loadbus,12,0.999994431626308,-2.6930646915692583e-06
loadbus,13,0.9999938812182274,-3.1285782915553408e-06
loadbus,14,0.9999935303863122,-3.2789830839630786e-06
loadbus,15,0.9999925055397085,-4.041482345354059e-06
loadbus,16,0.9999921308892676,-4.225913602658923e-06
loadbus,17,0.9999924385981125,-4.137113196699639e-06
loadbus,18,0.9999926465188744,-4.190867194374095e-06
loadbus,19,0.9999931492899039,-3.82340652441541e-06
loadbus,20,0.9999934286662425,-3.775081127087628e-06
loadbus,21,0.9999943582387445,-3.1486877260623062e-06
loadbus,22,0.9999950405980299,-2.875456062565011e-06
loadbus,23,0.9999959701705317,-2.249062661384258e-06
