link,time,flow_rate
P1,0,0.0
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.0
P1,6,0.07006905217631054
P1,7,0.0
P1,8,0.07025649988534965
P1,9,0.0
P1,10,0.07023593114434146
P1,11,0.06872606981468188
P1,12,0.0
P1,13,0.06810610813689788
P1,14,0.0
P1,15,0.06752253095667182
P1,16,0.0
P1,17,0.0
P1,18,0.06895184277082933
P1,19,0.0
P1,20,0.06897212694047816
P1,21,0.0
P1,22,0.06804834449616504
P1,23,0.0
P2,0,-0.012500000000000178
P2,1,-0.009999999999999787
P2,2,-0.009999999999999787
P2,3,-0.012500000000000178
P2,4,-0.01750000000000007
P2,5,-0.025000000000000355
P2,6,0.0350690521763104
P2,7,-0.040000000000000036
P2,8,0.03275649988534912
P2,9,-0.03249999999999975
P2,10,0.040235931144342096
P2,11,0.04122606981468202
P2,12,-0.025000000000000355
P2,13,0.04310610813689841
P2,14,-0.027499999999999858
P2,15,0.037522530956671574
P2,16,-0.03500000000000014
P2,17,-0.040000000000000036
P2,18,0.0314518427708288
P2,19,-0.03249999999999975
P2,20,0.04397212694047781
P2,21,-0.019999999999999574
P2,22,0.05304834449616447
P2,23,-0.012500000000000178
PU1,0,0.0
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.0
PU1,6,0.07006905217631026
PU1,7,0.0
PU1,8,0.07025649988534931
PU1,9,0.0
PU1,10,0.07023593114434183
PU1,11,0.06872606981468217
PU1,12,0.0
PU1,13,0.06810610813689823
PU1,14,0.0
PU1,15,0.06752253095667193
PU1,16,0.0
PU1,17,0.0
PU1,18,0.06895184277082916
PU1,19,0.0
PU1,20,0.0689721269404779
PU1,21,0.0
PU1,22,0.0680483444961648
PU1,23,0.0
