node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.56113918989951
N1,5,25.997244341595437
N1,6,26.90772122191479
N1,7,26.301320898517005
N1,8,26.75776305468352
N1,9,26.07995140570376
N1,10,26.774218047489498
N1,11,27.982107111217225
N1,12,27.645693352370525
N1,13,28.47807645344438
N1,14,28.21961765726361
N1,15,28.944938197625415
N1,16,28.531411674665776
N1,17,27.410539813264755
N1,18,27.801488746299633
N1,19,27.147641794688326
N1,20,27.78526141058064
N1,21,27.52486602243762
N1,22,28.524287366031118
N1,23,28.580705533811965
N2,0,27.995381198376123
N2,1,27.598417600971157
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.56113918989951
N2,5,25.997244341595437
N2,6,25.237818028582502
N2,7,26.301320898517005
N2,8,25.07863084324856
N2,9,26.07995140570376
N2,10,25.09609854132621
N2,11,26.378325870458283
N2,12,27.645693352370525
N2,13,26.897623824782517
N2,14,28.21961765726361
N2,15,27.386047730332617
N2,16,28.531411674665776
N2,17,27.410539813264755
N2,18,26.186591537732603
N2,19,27.147641794688326
N2,20,26.169365507658547
N2,21,27.52486602243762
N2,22,26.945969003384032
N2,23,28.580705533811965
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.60211264227026
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.56760551217294
T1,5,26.010563211351304
T1,6,25.214788495891828
T1,7,26.3310710965733
T1,8,25.057831551838138
T1,9,26.100503326866633
T1,10,25.065996196769312
T1,11,26.346745663074742
T1,12,27.659012222126393
T1,13,26.863237506666916
T1,14,28.235347544155143
T1,15,27.359995357149717
T1,16,28.554374612964317
T1,17,27.44029001132105
T1,18,26.167050466585888
T1,19,27.1681937158512
T1,20,26.13368658575388
T1,21,27.53336285792215
T1,22,26.89674308555457
T1,23,28.585324335435843
T1,24,28.187436977706103
