line,time,P_line,Q_line,I_re,I_im,phi,chi
sourcebus_loadbus,0,425.9475776720047,193.72884193514102,0.4259475776720047,-0.19372884193514103,0.4259475776720047,0.1937288419349305
sourcebus_loadbus,1,350.0,169.51273669324837,0.35,-0.16951273669324837,0.35,0.16951273669302572
sourcebus_loadbus,2,350.0,169.51273669324837,0.35,-0.16951273669324837,0.35,0.16951273669302572
sourcebus_loadbus,3,450.0,193.72884193514102,0.45,-0.19372884193514103,0.45,0.1937288419349022
sourcebus_loadbus,4,550.0,242.16105241892626,0.55,-0.24216105241892627,0.55,0.24216105241871178
sourcebus_loadbus,5,731.2107355667416,339.02547338649674,0.7312107355667417,-0.33902547338649675,0.7312107355667417,0.33902547338626193
sourcebus_loadbus,6,845.0,411.67378911217463,0.845,-0.4116737891121746,0.845,0.41167378911193386
sourcebus_loadbus,7,880.0,435.8898943540673,0.88,-0.4358898943540673,0.88,0.4358898943538528
sourcebus_loadbus,8,860.0,435.8898943540673,0.86,-0.4358898943540673,0.86,0.4358898943538386
sourcebus_loadbus,9,815.9475776720047,411.67378911217463,0.8159475776720048,-0.4116737891121746,0.8159475776720048,0.41167378911193386
sourcebus_loadbus,10,720.0,387.45768387028204,0.72,-0.38745768387028207,0.72,0.38745768387002905
sourcebus_loadbus,11,655.0,363.2415786283894,0.655,-0.3632415786283894,0.655,0.36324157862813844
sourcebus_loadbus,12,675.9475776720047,363.2415786283894,0.6759475776720048,-0.3632415786283894,0.6759475776720048,0.36324157862813844
sourcebus_loadbus,13,705.0,387.45768387028204,0.705,-0.38745768387028207,0.705,0.3874576838700432
sourcebus_loadbus,14,795.9475776720047,411.67378911217463,0.7959475776720047,-0.4116737891121746,0.7959475776720047,0.4116737891119197
sourcebus_loadbus,15,915.9475776720047,460.1059995959599,0.9159475776720047,-0.4601059995959599,0.9159475776720047,0.460105999595701
sourcebus_loadbus,16,920.0,484.3221048378525,0.92,-0.48432210483785254,0.9199999999999999,0.48432210483760574
sourcebus_loadbus,17,905.9475776720047,460.1059995959599,0.9059475776720047,-0.4601059995959599,0.9059475776720047,0.4601059995957293
sourcebus_loadbus,18,895.0,435.8898943540673,0.895,-0.4358898943540673,0.895,0.4358898943538528
sourcebus_loadbus,19,800.0,411.67378911217463,0.8,-0.4116737891121746,0.8,0.4116737891119197
sourcebus_loadbus,20,750.0,387.45768387028204,0.75,-0.38745768387028207,0.75,0.38745768387005736
sourcebus_loadbus,21,775.9475776720047,339.02547338649674,0.7759475776720047,-0.33902547338649675,0.7759475776720048,0.33902547338626193
sourcebus_loadbus,22,650.0,290.5932629027115,0.65,-0.2905932629027115,0.65,0.2905932629024789
sourcebus_loadbus,23,531.2107355667416,242.16105241892626,0.5312107355667416,-0.24216105241892627,0.5312107355667416,0.24216105241868346
