bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999966525298173,-1.9758309980470978e-06
loadbus,1,0.9999971791193722,-1.5743438630384456e-06
loadbus,2,0.9999971791193722,-1.5743438630384456e-06
loadbus,3,0.9999965379511703,-2.139514779485251e-06
loadbus,4,0.9999957319852765,-2.5893273117074385e-06
loadbus,5,0.9999942095600042,-3.3610859264789297e-06
loadbus,6,0.9999931731084295,-3.789380059433975e-06
loadbus,7,0.9999928415810593,-3.912206930512161e-06
loadbus,8,0.9999929368551613,-3.776101070398739e-06
loadbus,9,0.999993311505602,-3.5916698129674667e-06
loadbus,10,0.9999939333692591,-3.0540768178453924e-06
loadbus,11,0.9999944078077825,-2.7270911566492328e-06
loadbus,12,0.9999943080196998,-2.869645560466278e-06
loadbus,13,0.9999940048248357,-2.9519974227603265e-06
loadbus,14,0.999993406779704,-3.4555639528540452e-06
loadbus,15,0.9999925055397084,-4.0414823452939695e-06
loadbus,16,0.9999923214374717,-3.953701882394083e-06
loadbus,17,0.9999925531767595,-3.9734294152372595e-06
loadbus,18,0.9999927701254827,-4.014286325597227e-06
loadbus,19,0.9999933874751592,-3.4831418741787767e-06
loadbus,20,0.999993790458106,-3.258235608015525e-06
loadbus,21,0.999993996446881,-3.6655332451536883e-06
loadbus,22,0.9999949260193829,-3.039139844033942e-06
loadbus,23,0.9999958214917914,-2.461460861878081e-06
