link,time,flow_rate
P1,0,0.06672805054859475
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.06656909937262567
P1,6,0.0
P1,7,0.0
P1,8,0.0
P1,9,0.06928684275541837
P1,10,0.0
P1,11,0.0
P1,12,0.07004911605715339
P1,13,0.0
P1,14,0.06930334076482299
P1,15,0.0677297112770688
P1,16,0.0
P1,17,0.06763844091548599
P1,18,0.0
P1,19,0.0
P1,20,0.0
P1,21,0.0701443378895269
P1,22,0.0
P1,23,0.0688151058179595
P2,0,0.054228050548594794
P2,1,-0.010000000000000002
P2,2,-0.010000000000000002
P2,3,-0.0125
P2,4,-0.017499999999999998
P2,5,0.041569099372625665
P2,6,-0.034999999999999996
P2,7,-0.04000000000000001
P2,8,-0.037500000000000006
P2,9,0.03678684275541837
P2,10,-0.03
P2,11,-0.027500000000000004
P2,12,0.045049116057153386
P2,13,-0.025
P2,14,0.041803340764822984
P2,15,0.0377297112770688
P2,16,-0.034999999999999996
P2,17,0.027638440915485975
P2,18,-0.037500000000000006
P2,19,-0.0325
P2,20,-0.025
P2,21,0.0501443378895269
P2,22,-0.015
P2,23,0.05631510581795949
PU1,0,0.06672805054859475
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.06656909937262567
PU1,6,0.0
PU1,7,0.0
PU1,8,0.0
PU1,9,0.06928684275541837
PU1,10,0.0
PU1,11,0.0
PU1,12,0.07004911605715339
PU1,13,0.0
PU1,14,0.06930334076482299
PU1,15,0.0677297112770688
PU1,16,0.0
PU1,17,0.06763844091548599
PU1,18,0.0
PU1,19,0.0
PU1,20,0.0
PU1,21,0.0701443378895269
PU1,22,0.0
PU1,23,0.0688151058179595
