node,time,head
N1,0,29.580522524087193
N1,1,29.7224374185101
N1,2,29.40412753232631
N1,3,29.084893885817745
N1,4,28.685159007438454
N1,5,29.690338168144017
N1,6,29.434805772648165
N1,7,28.313933923683656
N1,8,27.044425721924096
N1,9,27.533127623478375
N1,10,27.029603115018205
N1,11,26.07708445090876
N1,12,26.92367011724034
N1,13,26.638101345654107
N1,14,27.52029035110458
N1,15,28.779193941307874
N1,16,28.364298139931762
N1,17,28.85221023057425
N1,18,28.12691653215343
N1,19,26.938721488108186
N1,20,25.911447397805812
N1,21,26.847492651341526
N1,22,26.719592589690492
N1,23,27.910878308595365
N2,0,28.050986725455154
N2,1,29.7224374185101
N2,2,29.40412753232631
N2,3,29.084893885817745
N2,4,28.685159007438454
N2,5,28.16667552692111
N2,6,29.434805772648165
N2,7,28.313933923683656
N2,8,27.044425721924096
N2,9,25.90173663679037
N2,10,27.029603115018205
N2,11,26.07708445090876
N2,12,25.25474848194119
N2,13,26.638101345654107
N2,14,25.888087082270083
N2,15,27.212648521675845
N2,16,28.364298139931762
N2,17,27.28903972379624
N2,18,28.12691653215343
N2,19,26.938721488108186
N2,20,25.911447397805812
N2,21,25.17388275381046
N2,22,26.719592589690492
N2,23,26.302713365895023
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,29.726132459809204
T1,2,29.407822573625413
T1,3,29.089512687441623
T1,4,28.691625329711883
T1,5,28.13458302889025
T1,6,29.457768557896568
T1,7,28.3436839562533
T1,8,27.07044441151814
T1,9,25.876782338328923
T1,10,27.047743911382746
T1,11,26.092814252831374
T1,12,25.21746206582595
T1,13,26.651419966309234
T1,14,25.855645250849758
T1,15,27.18628691494506
T1,16,28.387260925180165
T1,17,27.273176323536898
T1,18,28.152935221747473
T1,19,26.95927314855826
T1,20,25.92476601846094
T1,21,25.128991303001463
T1,22,26.725135151639147
T1,23,26.24767032236346
T1,24,28.04023581469774
