hour,internal_price,mode,import_price,export_price,connection_binding,within_band,equals_reference
0,0.08,import,0.08,0.03,False,True,True
1,0.08,import,0.08,0.03,False,True,True
2,0.08,import,0.08,0.03,False,True,True
3,0.08,import,0.08,0.03,False,True,True
4,0.08,import,0.08,0.03,False,True,True
5,0.08,import,0.08,0.03,False,True,True
6,0.08,import,0.08,0.03,False,True,True
7,0.16,idle,0.16,0.03,False,True,False
8,0.08,idle,0.16,0.03,False,True,False
9,0.03,export,0.16,0.03,False,True,True
10,0.03,export,0.16,0.03,False,True,True
11,0.03,export,0.16,0.03,False,True,True
12,0.03,export,0.16,0.03,False,True,True
13,0.03,export,0.16,0.03,False,True,True
14,0.03,export,0.16,0.03,False,True,True
15,0.16,import,0.16,0.03,False,True,True
16,0.32,idle,0.32,0.03,False,True,False
17,0.32,import,0.32,0.03,False,True,True
18,0.32,import,0.32,0.03,False,True,True
19,0.32,import,0.32,0.03,False,True,True
20,0.32,import,0.32,0.03,False,True,True
21,0.08,import,0.08,0.03,False,True,True
22,0.08,import,0.08,0.03,False,True,True
23,0.08,import,0.08,0.03,False,True,True
