bus,time,E_soc
sourcebus,0,0.0
sourcebus,1,0.0
sourcebus,2,0.0
sourcebus,3,0.0
sourcebus,4,0.0
sourcebus,5,0.0
sourcebus,6,0.0
sourcebus,7,0.0
sourcebus,8,0.0
sourcebus,9,0.0
sourcebus,10,0.0
sourcebus,11,0.0
sourcebus,12,0.0
sourcebus,13,0.0
sourcebus,14,0.0
sourcebus,15,0.0
sourcebus,16,0.0
sourcebus,17,0.0
sourcebus,18,0.0
sourcebus,19,0.0
sourcebus,20,0.0
sourcebus,21,0.0
sourcebus,22,0.0
sourcebus,23,0.0
sourcebus,24,0.0
loadbus,0,100.0
loadbus,1,100.0
loadbus,2,90.47368421052633
loadbus,3,90.47368421052633
loadbus,4,90.47368421052633
loadbus,5,90.47368421052633
loadbus,6,90.47368421052633
loadbus,7,90.47368421052633
loadbus,8,37.8421052631579
loadbus,9,0.0
loadbus,10,0.0
loadbus,11,10.902500000000003
loadbus,12,58.4025
loadbus,13,105.9025
loadbus,14,153.4025
loadbus,15,200.0
loadbus,16,200.0
loadbus,17,178.94736842105263
loadbus,18,126.31578947368422
loadbus,19,73.68421052631581
loadbus,20,21.05263157894739
loadbus,21,0.0
loadbus,22,5.0
loadbus,23,52.5
loadbus,24,100.0
