bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999996776136425,-1.7992501285891897e-07
loadbus,1,0.9999997610234685,-9.584648455023058e-08
loadbus,2,0.9999997179119373,-1.5743438625155412e-07
loadbus,3,0.9999996776136425,-1.7992501285891918e-07
loadbus,4,0.9999995970170532,-2.249062661750555e-07
loadbus,5,0.9999994358238744,-3.14868772604515e-07
loadbus,6,0.9999992389478939,-4.908850758670633e-07
loadbus,7,0.9999997033641551,2.0764509147642235e-07
loadbus,8,0.9999997033641551,2.0764509147642235e-07
loadbus,9,0.9999998389365518,3.6624157819720873e-07
loadbus,10,0.9999998554163211,3.547057397762182e-07
loadbus,11,0.9999998718960902,3.4316990135522776e-07
loadbus,12,0.9999998718960902,3.4316990135522776e-07
loadbus,13,0.9999998554163211,3.547057397762182e-07
loadbus,14,0.9999998389365518,3.6624157819720873e-07
loadbus,15,0.999999682358866,2.1271590144061854e-07
loadbus,16,0.9999995751305146,9.461090820498185e-08
loadbus,17,0.9999996630658604,1.8515446476765072e-07
loadbus,18,0.999999560453002,3.486301306290076e-09
loadbus,19,0.9999995054771945,-1.1012893219976638e-07
loadbus,20,0.9999995934125403,-1.9585375535690936e-08
loadbus,21,0.9999990740204717,-8.317307763852332e-07
loadbus,22,0.9999994913483317,-3.0570485099858044e-07
loadbus,23,0.9999992352136505,-7.417682699557737e-07
