link,time,flow_rate
P1,0,0.0
P1,1,6.975736996017264e-18
P1,2,6.975736996017264e-18
P1,3,6.278163296415537e-17
P1,4,6.278163296415537e-17
P1,5,-9.766031794424169e-17
P1,6,0.07011755560159613
P1,7,2.7902947984069057e-17
P1,8,0.07030927559905766
P1,9,6.975736996017264e-17
P1,10,0.07028595946247068
P1,11,-3.8366553478094954e-17
P1,12,0.06978281744965603
P1,13,0.06804261295110454
P1,14,0.06635874965881496
P1,15,0.06461946223486034
P1,16,1.3951473992034528e-17
P1,17,2.7902947984069057e-17
P1,18,-3.487868498008632e-17
P1,19,-4.1854421976103585e-17
P1,20,1.2556326592831075e-16
P1,21,0.07010980699769002
P1,22,6.975736996017264e-18
P1,23,0.06873838818589573
P2,0,-0.0125
P2,1,-0.009999999999999995
P2,2,-0.009999999999999995
P2,3,-0.012499999999999938
P2,4,-0.017499999999999936
P2,5,-0.0250000000000001
P2,6,0.035117555601596136
P2,7,-0.03999999999999998
P2,8,0.03280927559905765
P2,9,-0.03249999999999993
P2,10,0.04028595946247068
P2,11,-0.027500000000000042
P2,12,0.04478281744965603
P2,13,0.04304261295110454
P2,14,0.03885874965881495
P2,15,0.03461946223486034
P2,16,-0.03499999999999998
P2,17,-0.03999999999999998
P2,18,-0.03750000000000004
P2,19,-0.03250000000000004
P2,20,-0.024999999999999876
P2,21,0.05010980699769002
P2,22,-0.014999999999999993
P2,23,0.05623838818589573
PU1,0,0.0
PU1,1,6.975736996017264e-18
PU1,2,6.975736996017264e-18
PU1,3,6.278163296415537e-17
PU1,4,6.278163296415537e-17
PU1,5,-9.766031794424169e-17
PU1,6,0.07011755560159613
PU1,7,2.7902947984069057e-17
PU1,8,0.07030927559905766
PU1,9,6.975736996017264e-17
PU1,10,0.07028595946247068
PU1,11,-3.8366553478094954e-17
PU1,12,0.06978281744965603
PU1,13,0.06804261295110454
PU1,14,0.06635874965881496
PU1,15,0.06461946223486034
PU1,16,1.3951473992034528e-17
PU1,17,2.7902947984069057e-17
PU1,18,-3.487868498008632e-17
PU1,19,-4.1854421976103585e-17
PU1,20,1.2556326592831075e-16
PU1,21,0.07010980699769002
PU1,22,6.975736996017264e-18
PU1,23,0.06873838818589573
