node,time,head
N1,0,27.99538119837612
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.561139189899514
N1,5,25.99724434159544
N1,6,26.910156072895578
N1,7,26.302864810495237
N1,8,26.761956284674454
N1,9,26.083175220824366
N1,10,26.77997968625003
N1,11,26.335832042128764
N1,12,27.168909066239603
N1,13,28.514089232949356
N1,14,29.815717579574233
N1,15,30.98291551013047
N1,16,30.587701205693612
N1,17,29.46682934429259
N1,18,28.19732125372368
N1,19,27.009126003261635
N1,20,25.981851924571323
N1,21,26.916145753018323
N1,22,26.7888982131317
N1,23,27.976254141092078
N2,0,27.995381198376123
N2,1,27.598417600971157
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.561139189899514
N2,5,25.99724434159544
N2,6,25.237864805618305
N2,7,26.302864810495237
N2,8,25.080225652486824
N2,9,26.083175220824366
N2,10,25.099397027797234
N2,11,26.335832042128764
N2,12,25.5130986857107
N2,13,26.9359826409192
N2,14,28.299826806225884
N2,15,29.531288380689443
N2,16,30.587701205693612
N2,17,29.46682934429259
N2,18,28.19732125372368
N2,19,27.009126003261635
N2,20,25.981851924571323
N2,21,25.244235989500627
N2,22,26.7888982131317
N2,23,26.371866403345212
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.60211264227026
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.567605512172943
T1,5,26.01056321135131
T1,6,25.21478849589183
T1,7,26.33261500855153
T1,8,25.05937546381637
T1,9,26.103727141987235
T1,10,25.069220011889918
T1,11,26.351561929020303
T1,12,25.476209742014877
T1,13,26.901691094553826
T1,14,28.27178001750573
T1,15,29.50869243561991
T1,16,30.610664143992153
T1,17,29.496579542348886
T1,18,28.223339997613724
T1,19,27.029677924424508
T1,20,25.995170794327187
T1,21,25.199396078867714
T1,22,26.794440775080357
T1,23,26.31697594580467
T1,24,28.1070994400659
