node,time,head
N1,0,27.995381198376123
N1,1,27.598417600971157
N1,2,27.280107714787366
N1,3,26.9608740682788
N1,4,26.561139189899514
N1,5,25.997244341595444
N1,6,26.91015607289558
N1,7,26.30286481049524
N1,8,26.761956284674408
N1,9,26.083175220824366
N1,10,26.779979686249934
N1,11,27.986852733991448
N1,12,29.240079290421196
N1,13,30.513328902917355
N1,14,30.273008629280778
N1,15,30.892999439615274
N1,16,30.49692050425557
N1,17,29.37604864285455
N1,18,28.106540552285637
N1,19,26.918345301823596
N1,20,25.891071223133277
N1,21,26.830955604255518
N1,22,26.701625509680564
N1,23,27.894405276154277
N2,0,27.995381198376123
N2,1,27.598417600971153
N2,2,27.280107714787366
N2,3,26.9608740682788
N2,4,26.561139189899514
N2,5,25.997244341595444
N2,6,25.23786480561831
N2,7,26.30286481049524
N2,8,25.08022565248683
N2,9,26.083175220824366
N2,10,25.09939702779726
N2,11,26.38314005784294
N2,12,27.696673898543594
N2,13,29.034268369417404
N2,14,30.273008629280778
N2,15,29.43611938375781
N2,16,30.49692050425557
N2,17,29.37604864285455
N2,18,28.106540552285637
N2,19,26.918345301823596
N2,20,25.891071223133277
N2,21,25.15361978102082
N2,22,26.701625509680564
N2,23,26.28480429679003
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,27.602112642270257
T1,2,27.28380275608647
T1,3,26.96549286990268
T1,4,26.567605512172943
T1,5,26.010563211351307
T1,6,25.21478849589183
T1,7,26.332615008551535
T1,8,25.059375463816373
T1,9,26.10372714198724
T1,10,25.069220011889918
T1,11,26.351561929020306
T1,12,27.663784160414703
T1,13,29.003977940593455
T1,14,30.288738516172312
T1,15,29.413386329166887
T1,16,30.51988344255411
T1,17,29.405798840910844
T1,18,28.132559296175682
T1,19,26.938897222986466
T1,20,25.904390092889145
T1,21,25.10861537742967
T1,22,26.70716807162922
T1,23,26.22970324235353
T1,24,28.0231971457243
