bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999996923811283,-1.588286045413386e-07
loadbus,1,0.9999997179119373,-1.5743438625155412e-07
loadbus,2,0.9999997179119373,-1.5743438625155412e-07
loadbus,3,0.9999996776136425,-1.7992501285891897e-07
loadbus,4,0.9999995970170532,-2.249062661750555e-07
loadbus,5,0.9999993405497724,-4.509746327179365e-07
loadbus,6,0.9999993625660414,-3.1428772236989885e-07
loadbus,7,0.9999997033641551,2.0764509147642235e-07
loadbus,8,0.9999997033641551,2.0764509147642235e-07
loadbus,9,0.9999998865736028,4.342945082539195e-07
loadbus,10,0.9999999436576901,4.807648383733727e-07
loadbus,11,0.9999999388261469,4.387842680849063e-07
loadbus,12,0.9999999864631979,5.068371981416173e-07
loadbus,13,0.9999998985278522,4.1629364147754193e-07
loadbus,14,0.9999998389365518,3.6624157819720805e-07
loadbus,15,0.999999682358866,2.1271590144061857e-07
loadbus,16,0.9999996704046167,2.3071676831840336e-07
loadbus,17,0.9999996630658604,1.8515446476765038e-07
loadbus,18,0.999999560453002,3.486301306290076e-09
loadbus,19,0.9999993568740092,-3.2241919685005007e-07
loadbus,20,0.9999993552272851,-3.5985002581924473e-07
loadbus,21,0.9999993405497724,-4.509746327179365e-07
loadbus,22,0.9999993735093107,-4.740463095599175e-07
loadbus,23,0.999999406468849,-4.971179864018985e-07
