link,time,flow_rate
P1,0,0.0
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.06913411683788723
P1,6,0.0
P1,7,0.0
P1,8,0.0703473025656246
P1,9,0.0
P1,10,0.0703224925871177
P1,11,0.0687597986117321
P1,12,0.0671377048128148
P1,13,0.0
P1,14,0.06647003096248623
P1,15,0.06474887788301258
P1,16,0.0
P1,17,0.0
P1,18,0.0
P1,19,0.0
P1,20,0.0
P1,21,0.07021012726332135
P1,22,0.06825429524880607
P1,23,0.0
P2,0,-0.0125
P2,1,-0.010000000000000002
P2,2,-0.010000000000000002
P2,3,-0.0125
P2,4,-0.017499999999999998
P2,5,0.044134116837887226
P2,6,-0.034999999999999996
P2,7,-0.04000000000000001
P2,8,0.0328473025656246
P2,9,-0.0325
P2,10,0.0403224925871177
P2,11,0.0412597986117321
P2,12,0.04213770481281479
P2,13,-0.025
P2,14,0.038970030962486225
P2,15,0.03474887788301258
P2,16,-0.034999999999999996
P2,17,-0.04000000000000001
P2,18,-0.037500000000000006
P2,19,-0.0325
P2,20,-0.025
P2,21,0.050210127263321344
P2,22,0.053254295248806066
P2,23,-0.0125
PU1,0,0.0
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.06913411683788723
PU1,6,0.0
PU1,7,0.0
PU1,8,0.0703473025656246
PU1,9,0.0
PU1,10,0.0703224925871177
PU1,11,0.0687597986117321
PU1,12,0.0671377048128148
PU1,13,0.0
PU1,14,0.06647003096248623
PU1,15,0.06474887788301258
PU1,16,0.0
PU1,17,0.0
PU1,18,0.0
PU1,19,0.0
PU1,20,0.0
PU1,21,0.07021012726332135
PU1,22,0.06825429524880607
PU1,23,0.0
