bus,time,U,theta
sourcebus,0,1.0,0.0
sourcebus,1,1.0,0.0
sourcebus,2,1.0,0.0
sourcebus,3,1.0,0.0
sourcebus,4,1.0,0.0
sourcebus,5,1.0,0.0
sourcebus,6,1.0,0.0
sourcebus,7,1.0,0.0
sourcebus,8,1.0,0.0
sourcebus,9,1.0,0.0
sourcebus,10,1.0,0.0
sourcebus,11,1.0,0.0
sourcebus,12,1.0,0.0
sourcebus,13,1.0,0.0
sourcebus,14,1.0,0.0
sourcebus,15,1.0,0.0
sourcebus,16,1.0,0.0
sourcebus,17,1.0,0.0
sourcebus,18,1.0,0.0
sourcebus,19,1.0,0.0
sourcebus,20,1.0,0.0
sourcebus,21,1.0,0.0
sourcebus,22,1.0,0.0
sourcebus,23,1.0,0.0
loadbus,0,0.9999996776136425,-1.7992501285891897e-07
loadbus,1,0.9999997179119373,-1.5743438625155412e-07
loadbus,2,0.9999997179119373,-1.5743438625155412e-07
loadbus,3,0.9999997207251737,-1.1833711115759574e-07
loadbus,4,0.9999995970170532,-2.249062661750555e-07
loadbus,5,0.9999993122057269,-4.914661261016794e-07
loadbus,6,0.9999993625660414,-3.1428772236989885e-07
loadbus,7,0.9999997033641551,2.0764509147642235e-07
loadbus,8,0.9999997033641551,2.0764509147642235e-07
loadbus,9,0.9999997629554553,2.5769715475675505e-07
loadbus,10,0.9999999745089486,5.248380649179951e-07
loadbus,11,0.9999999909887177,5.133022264970047e-07
loadbus,12,0.9999999909887177,5.133022264970047e-07
loadbus,13,0.9999999346066504,4.678347816625976e-07
loadbus,14,0.9999997198439242,1.9610925305543184e-07
loadbus,15,0.999999682358866,2.1271590144061854e-07
loadbus,16,0.9999996704046167,2.3071676831840336e-07
loadbus,17,0.9999995201547073,-1.9004325402481565e-08
loadbus,18,0.999999560453002,3.486301306290076e-09
loadbus,19,0.9999995531142456,-4.207600214305581e-08
loadbus,20,0.9999995934125403,-1.9585375535690936e-08
loadbus,21,0.9999992871335948,-5.272834577104745e-07
loadbus,22,0.9999991546170611,-7.867495231705034e-07
loadbus,23,0.999999358831798,-5.651709164586093e-07
