link,time,flow_rate
P1,0,0.0
P1,1,0.0
P1,2,0.0
P1,3,0.0
P1,4,0.0
P1,5,0.06913411683788723
P1,6,0.0
P1,7,0.0
P1,8,0.07034730256562459
P1,9,0.06907113959711451
P1,10,0.0
P1,11,0.06880815408487023
P1,12,0.0
P1,13,0.06816558760947347
P1,14,0.06647690030666054
P1,15,0.06475686665200941
P1,16,0.0
P1,17,0.0
P1,18,0.0
P1,19,0.0
P1,20,0.0
P1,21,0.07021631998761146
P1,22,0.0682603388174687
P1,23,0.0
P2,0,-0.0125
P2,1,-0.010000000000000002
P2,2,-0.010000000000000002
P2,3,-0.0125
P2,4,-0.017499999999999998
P2,5,0.044134116837887226
P2,6,-0.034999999999999996
P2,7,-0.04000000000000001
P2,8,0.032847302565624584
P2,9,0.03657113959711451
P2,10,-0.03
P2,11,0.04130815408487023
P2,12,-0.025
P2,13,0.04316558760947347
P2,14,0.03897690030666053
P2,15,0.034756866652009416
P2,16,-0.034999999999999996
P2,17,-0.04000000000000001
P2,18,-0.037500000000000006
P2,19,-0.0325
P2,20,-0.025
P2,21,0.05021631998761146
P2,22,0.053260338817468694
P2,23,-0.0125
PU1,0,0.0
PU1,1,0.0
PU1,2,0.0
PU1,3,0.0
PU1,4,0.0
PU1,5,0.06913411683788723
PU1,6,0.0
PU1,7,0.0
PU1,8,0.07034730256562459
PU1,9,0.06907113959711451
PU1,10,0.0
PU1,11,0.06880815408487023
PU1,12,0.0
PU1,13,0.06816558760947347
PU1,14,0.06647690030666054
PU1,15,0.06475686665200941
PU1,16,0.0
PU1,17,0.0
PU1,18,0.0
PU1,19,0.0
PU1,20,0.0
PU1,21,0.07021631998761146
PU1,22,0.0682603388174687
PU1,23,0.0
