node,time,head
N1,0,29.580522524087005
N1,1,29.7224374185101
N1,2,29.40412753232631
N1,3,29.084893885817745
N1,4,28.68515900743846
N1,5,29.69033807115444
N1,6,29.43480566815229
N1,7,28.313933800047884
N1,8,27.04442570947897
N1,9,27.533149196833378
N1,10,27.029616550441034
N1,11,26.07709792914637
N1,12,26.92368286170345
N1,13,26.638114142052707
N1,14,27.520302618718475
N1,15,28.77920592296322
N1,16,28.364310061727167
N1,17,28.852224277344142
N1,18,28.126927973704383
N1,19,26.938732773112264
N1,20,25.91145871158645
N1,21,26.84750352193619
N1,22,26.719603717058845
N1,23,27.910888766352418
N2,0,28.050986725454983
N2,1,29.7224374185101
N2,2,29.40412753232631
N2,3,29.084893885817745
N2,4,28.685159007438457
N2,5,28.16667523613571
N2,6,29.434805625332658
N2,7,28.313933800047884
N2,8,27.044425709478972
N2,9,25.901737312170884
N2,10,27.029616550441034
N2,11,26.07709792914637
N2,12,25.254761904761907
N2,13,26.638114142052704
N2,14,25.8881001048814
N2,15,27.21266105670783
N2,16,28.364310061727167
N2,17,27.28905178751431
N2,18,28.126927973704383
N2,19,26.93873274115453
N2,20,25.911458698744486
N2,21,25.17389429342449
N2,22,26.719603717058845
N2,23,26.302724467263705
R1,0,0.0
R1,1,0.0
R1,2,0.0
R1,3,0.0
R1,4,0.0
R1,5,0.0
R1,6,0.0
R1,7,0.0
R1,8,0.0
R1,9,0.0
R1,10,0.0
R1,11,0.0
R1,12,0.0
R1,13,0.0
R1,14,0.0
R1,15,0.0
R1,16,0.0
R1,17,0.0
R1,18,0.0
R1,19,0.0
R1,20,0.0
R1,21,0.0
R1,22,0.0
R1,23,0.0
T1,0,28.0
T1,1,29.72613245980921
T1,2,29.40782257362542
T1,3,29.08951268744163
T1,4,28.691625329711893
T1,5,28.13458302889026
T1,6,29.45776856285826
T1,7,28.34368399810418
T1,8,27.070444453369014
T1,9,25.876782380179797
T1,10,27.04775746396816
T1,11,26.09282780541679
T1,12,25.217475618411363
T1,13,26.65143301180857
T1,14,25.855658296349095
T1,15,27.186299472331545
T1,16,28.387273005831737
T1,17,27.27318840418847
T1,18,28.15294674349583
T1,19,26.959284670306612
T1,20,25.92477756823579
T1,21,25.129002862897057
T1,22,26.725146279007514
T1,23,26.247681449731825
T1,24,28.040246525965173
